2026-03-16 14:51:08.562 [background-preinit] INFO  [] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-16 14:59:19.145 [main] INFO  [] com.chen404.filter.RequestBodyCacheFilter - RequestBodyCacheFilter 初始化完成
2026-03-16 14:59:19.895 [main] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-16 14:59:19.918 [main] INFO  [] com.chen404.Chen404Application - Started Chen404Application in 2.03 seconds (process running for 2.405)
2026-03-16 14:59:24.380 [http-nio-8080-exec-1] INFO  [69b7aa4c90c23fdd] com.zaxxer.hikari.HikariDataSource - Chen404HikariCP - Starting...
2026-03-16 14:59:24.507 [http-nio-8080-exec-1] INFO  [69b7aa4c90c23fdd] com.zaxxer.hikari.pool.HikariPool - Chen404HikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@3037ebbe
2026-03-16 14:59:24.508 [http-nio-8080-exec-1] INFO  [69b7aa4c90c23fdd] com.zaxxer.hikari.HikariDataSource - Chen404HikariCP - Start completed.
2026-03-16 15:04:11.505 [SpringApplicationShutdownHook] INFO  [] com.chen404.filter.TraceIdFilter - TraceIdFilter 销毁
2026-03-16 15:04:11.506 [SpringApplicationShutdownHook] INFO  [] com.chen404.filter.RequestBodyCacheFilter - RequestBodyCacheFilter 销毁
2026-03-16 15:04:11.506 [SpringApplicationShutdownHook] INFO  [] com.chen404.filter.RequestBodyCacheFilter - RequestBodyCacheFilter 销毁
2026-03-16 15:04:11.520 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - Chen404HikariCP - Shutdown initiated...
2026-03-16 15:04:11.525 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - Chen404HikariCP - Shutdown completed.
2026-03-16 15:04:17.501 [background-preinit] INFO  [] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-16 15:04:17.525 [main] INFO  [] com.chen404.Chen404Application - Starting Chen404Application using Java 17.0.1 with PID 36368 (D:\code_repo\Chen404\Chen404Bac\target\classes started by Chen in D:\code_repo\Chen404\Chen404Bac)
2026-03-16 15:04:17.526 [main] INFO  [] com.chen404.Chen404Application - No active profile set, falling back to 1 default profile: "default"
2026-03-16 15:04:18.385 [main] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-16 15:04:18.470 [main] INFO  [] com.chen404.filter.TraceIdFilter - TraceIdFilter 初始化完成
2026-03-16 15:04:18.470 [main] INFO  [] com.chen404.filter.RequestBodyCacheFilter - RequestBodyCacheFilter 初始化完成
2026-03-16 15:04:18.471 [main] INFO  [] com.chen404.filter.RequestBodyCacheFilter - RequestBodyCacheFilter 初始化完成
2026-03-16 15:04:19.271 [main] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-16 15:04:19.289 [main] INFO  [] com.chen404.Chen404Application - Started Chen404Application in 2.115 seconds (process running for 2.511)
2026-03-16 15:04:40.808 [http-nio-8080-exec-1] INFO  [69b7ab885a9a83fa] com.zaxxer.hikari.HikariDataSource - Chen404HikariCP - Starting...
2026-03-16 15:04:40.931 [http-nio-8080-exec-1] INFO  [69b7ab885a9a83fa] com.zaxxer.hikari.pool.HikariPool - Chen404HikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@7c2e9999
2026-03-16 15:04:40.932 [http-nio-8080-exec-1] INFO  [69b7ab885a9a83fa] com.zaxxer.hikari.HikariDataSource - Chen404HikariCP - Start completed.
2026-03-16 15:26:05.360 [SpringApplicationShutdownHook] INFO  [] com.chen404.filter.TraceIdFilter - TraceIdFilter 销毁
2026-03-16 15:26:05.360 [SpringApplicationShutdownHook] INFO  [] com.chen404.filter.RequestBodyCacheFilter - RequestBodyCacheFilter 销毁
2026-03-16 15:26:05.360 [SpringApplicationShutdownHook] INFO  [] com.chen404.filter.RequestBodyCacheFilter - RequestBodyCacheFilter 销毁
2026-03-16 15:26:05.371 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - Chen404HikariCP - Shutdown initiated...
2026-03-16 15:26:05.375 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - Chen404HikariCP - Shutdown completed.
